dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
common_prefix,100,QUICKSORT,284.522,271.770,273.465,46985,93970,11
common_prefix,100,MERGESORT,183.535,165.681,166.251,39176,78352,11
common_prefix,100,STRING_QUICKSORT,30.424,27.326,27.728,7558,7706,11
common_prefix,100,STRING_MERGESORT_LCP,46.821,45.015,45.769,7451,14902,11
common_prefix,100,MSD_RADIX_SORT,220.070,178.290,217.528,0,14332,11
common_prefix,100,MSD_RADIX_SORT_WITH_STRING_QS,191.320,136.503,210.316,50,14283,11
common_prefix,200,QUICKSORT,588.101,431.763,558.318,102016,204032,11
common_prefix,200,MERGESORT,366.059,340.453,361.625,91084,182168,11
common_prefix,200,STRING_QUICKSORT,45.009,38.882,40.002,15417,15654,11
common_prefix,200,STRING_MERGESORT_LCP,67.441,62.702,64.410,15099,30198,11
common_prefix,200,MSD_RADIX_SORT,225.437,211.778,215.543,0,28776,11
common_prefix,200,MSD_RADIX_SORT_WITH_STRING_QS,179.576,172.301,181.029,203,28706,11
common_prefix,300,QUICKSORT,552.779,541.641,543.657,188797,377594,11
common_prefix,300,MERGESORT,430.895,430.110,430.468,149379,298758,11
common_prefix,300,STRING_QUICKSORT,54.499,48.792,51.202,23456,23772,11
common_prefix,300,STRING_MERGESORT_LCP,91.582,83.317,89.087,22798,45596,11
common_prefix,300,MSD_RADIX_SORT,283.561,271.929,284.906,0,43210,11
common_prefix,300,MSD_RADIX_SORT_WITH_STRING_QS,294.470,290.422,294.940,427,43204,11
common_prefix,400,QUICKSORT,740.672,733.055,735.666,254453,508906,11
common_prefix,400,MERGESORT,612.504,610.133,610.858,211152,422304,11
common_prefix,400,STRING_QUICKSORT,79.838,69.289,79.516,30994,31379,11
common_prefix,400,STRING_MERGESORT_LCP,121.177,111.065,115.408,30592,61184,11
common_prefix,400,MSD_RADIX_SORT,446.414,438.874,446.072,0,57646,11
common_prefix,400,MSD_RADIX_SORT_WITH_STRING_QS,400.419,393.718,398.098,724,57782,11
common_prefix,500,QUICKSORT,1173.447,1167.481,1171.165,407900,815800,11
common_prefix,500,MERGESORT,797.568,792.148,794.661,274562,549124,11
