dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
common_prefix,3000,QUICKSORT,8358.937,7964.505,8310.211,2973085,5946170,11
common_prefix,3000,MERGESORT,6205.209,6021.566,6202.895,2209935,4419870,11
common_prefix,3000,STRING_QUICKSORT,1036.554,1017.815,1025.658,243625,246050,11
common_prefix,3000,STRING_MERGESORT_LCP,1236.507,1137.823,1196.009,237736,475472,11
common_prefix,3000,MSD_RADIX_SORT,3411.265,3272.0,3336.959,0,434670,11
common_prefix,3000,MSD_RADIX_SORT_WITH_STRING_QS,3292.294,3116.753,3184.012,14162,442445,11
nearly_sorted,3000,QUICKSORT,456.502,417.415,441.285,46844,93688,11
nearly_sorted,3000,MERGESORT,328.443,311.838,321.802,25857,51714,11
nearly_sorted,3000,STRING_QUICKSORT,265.281,230.886,256.711,28987,31340,11
nearly_sorted,3000,STRING_MERGESORT_LCP,387.36,336.656,378.137,11051,22102,11
nearly_sorted,3000,MSD_RADIX_SORT,226.873,216.36,221.134,0,14556,11
nearly_sorted,3000,MSD_RADIX_SORT_WITH_STRING_QS,192.471,169.658,184.561,11456,19698,11
random,3000,QUICKSORT,804.04,768.775,794.584,54060,108120,11
random,3000,MERGESORT,1055.724,912.576,1049.551,44571,89142,11
random,3000,STRING_QUICKSORT,457.604,425.643,450.501,34537,36877,11
random,3000,STRING_MERGESORT_LCP,949.935,916.58,936.417,27816,55632,11
random,3000,MSD_RADIX_SORT,480.643,419.047,462.569,0,14556,11
random,3000,MSD_RADIX_SORT_WITH_STRING_QS,500.783,470.893,502.908,14267,22556,11
reverse,3000,QUICKSORT,422.214,401.422,423.747,46131,92262,11
reverse,3000,MERGESORT,405.88,297.053,340.478,28254,56508,11
reverse,3000,STRING_QUICKSORT,292.829,233.571,278.579,28696,31021,11
reverse,3000,STRING_MERGESORT_LCP,370.134,331.515,356.981,12049,24098,11
reverse,3000,MSD_RADIX_SORT,224.487,218.117,220.502,0,14556,11
reverse,3000,MSD_RADIX_SORT_WITH_STRING_QS,182.806,165.399,182.174,11095,19274,11
